tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost,koeficijent
Cardiff,38,22.3,7.4,8.3,74.3,57.0,32.2,24.8,527.9,187.5,185.9,525.4,66.9,0.8,2017/18,113.00,1.0
Fulham,38,23.8,12.3,7.6,83.6,75.1,43.7,31.4,604.2,198.6,235.6,474.0,72.2,2.9,2017/18,254.25,1.15
Wolves,38,21.1,6.3,4.9,69.5,57.5,27.4,30.2,425.5,152.4,157.2,401.6,48.4,2.8,2017/18,302.90,0.85
Aston Villa,38,24.8,19.8,12.5,94.2,101.6,75.6,26.0,809.1,292.5,339.5,635.7,97.9,3.8,2018/19,231.70,1.5
Norwich,38,22.3,10.7,5.0,77.7,76.8,47.1,29.7,580.7,209.8,250.3,440.3,64.4,0.8,2018/19,145.33,1.0
Sheffield United,38,24.7,10.5,8.5,84.5,74.1,39.0,35.2,553.8,186.2,298.3,531.1,70.3,2.9,2018/19,138.60,1.15
Fulham,38,24.7,12.9,11.8,87.0,68.8,51.6,17.2,670.1,231.9,282.5,577.7,87.0,5.3,2019/20,239.75,1.3
Leeds,38,23.1,7.4,7.4,76.8,63.6,28.9,34.7,619.6,209.0,293.3,442.0,60.3,1.7,2019/20,238.10,1.0
West Brom,38,23.7,18.2,7.5,89.2,82.7,48.4,34.3,725.9,238.4,308.2,615.3,88.0,3.2,2019/20,141.15,1.3
Brentford,38,22.8,14.3,6.7,82.7,75.1,39.9,35.2,587.1,193.8,209.0,540.5,47.5,2.9,2020/21,273.30,1.15
Norwich,38,20.4,7.1,4.9,68.1,52.7,25.2,27.4,502.8,167.1,161.5,342.0,42.2,2.8,2020/21,163.20,0.85
Watford,38,22.3,8.3,7.4,75.2,52.0,24.8,27.3,432.0,139.6,215.6,517.1,65.3,1.7,2020/21,156.20,1.0
Bournemouth,38,23.8,12.3,7.6,83.6,70.3,37.0,33.2,550.0,202.4,228.0,504.5,89.4,4.7,2021/22,287.20,1.15
Fulham,38,22.3,7.4,8.3,74.3,87.6,35.5,52.0,610.5,230.5,238.7,391.6,57.0,1.7,2021/22,295.10,1.0
Nott'm Forest,38,24.7,11.8,12.9,85.9,78.4,42.9,35.5,616.5,213.7,273.9,535.9,90.2,2.2,2021/22,376.25,1.3
Burnley,38,16.8,8.1,1.8,58.4,50.3,20.2,30.1,362.0,127.2,155.5,259.6,46.8,1.2,2022/23,273.48,0.7
Luton,38,22.5,18.2,8.6,85.9,61.2,41.9,19.4,588.5,186.8,291.1,614.2,93.5,4.3,2022/23,140.90,1.3
Sheffield United,38,23.1,5.8,9.1,75.2,60.3,32.2,28.1,516.3,189.2,214.8,397.3,82.6,2.5,2022/23,152.35,1.0
Ipswich,38,19.6,8.4,4.2,67.4,64.6,40.0,24.6,502.1,181.9,172.7,399.5,70.9,0.0,2023/24,270.10,0.85
Leicester,38,21.8,2.8,7.7,68.1,62.5,28.8,33.7,463.4,170.6,179.1,331.4,58.3,0.7,2023/24,253.35,0.85
Southampton,38,24.7,8.5,10.5,82.7,82.7,59.8,22.8,676.4,250.8,324.9,430.3,94.1,2.9,2023/24,310.05,1.15

