tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost
Watford,38,11.0,7.0,20.0,40.0,40.0,68.0,-28.0,419.0,144.0,164.0,517.0,83.0,5.0,2016/17,175.65
West Brom,38,12.0,9.0,17.0,45.0,43.0,51.0,-8.0,400.0,123.0,158.0,449.0,80.0,0.0,2016/17,123.20
West Ham,38,12.0,9.0,17.0,45.0,47.0,64.0,-17.0,496.0,138.0,172.0,408.0,77.0,5.0,2016/17,273.05
Arsenal,38,19.0,6.0,13.0,63.0,74.0,51.0,23.0,593.0,234.0,225.0,383.0,57.0,2.0,2017/18,694.00
Bournemouth,38,11.0,11.0,16.0,44.0,45.0,61.0,-16.0,467.0,158.0,218.0,339.0,55.0,1.0,2017/18,144.50
Brighton,38,9.0,13.0,16.0,40.0,34.0,54.0,-20.0,383.0,118.0,163.0,413.0,54.0,2.0,2017/18,148.20
Burnley,38,14.0,12.0,12.0,54.0,36.0,39.0,-3.0,379.0,127.0,167.0,350.0,65.0,0.0,2017/18,169.30
Chelsea,38,21.0,7.0,10.0,70.0,62.0,38.0,24.0,606.0,220.0,230.0,363.0,41.0,4.0,2017/18,884.25
Crystal Palace,38,11.0,11.0,16.0,44.0,45.0,55.0,-10.0,475.0,151.0,209.0,425.0,71.0,0.0,2017/18,220.73
Everton,38,13.0,10.0,15.0,49.0,44.0,58.0,-14.0,360.0,122.0,150.0,459.0,51.0,3.0,2017/18,381.25
Huddersfield,38,9.0,10.0,19.0,37.0,28.0,58.0,-30.0,360.0,111.0,165.0,396.0,61.0,3.0,2017/18,106.05
Leicester,38,12.0,11.0,15.0,47.0,56.0,60.0,-4.0,422.0,148.0,203.0,365.0,52.0,5.0,2017/18,304.25
Liverpool,38,21.0,12.0,5.0,75.0,84.0,38.0,46.0,640.0,233.0,230.0,344.0,44.0,1.0,2017/18,857.50
Man City,38,32.0,4.0,2.0,100.0,106.0,27.0,79.0,664.0,261.0,284.0,344.0,58.0,2.0,2017/18,1010.00
Man United,38,25.0,6.0,7.0,81.0,68.0,28.0,40.0,513.0,181.0,220.0,404.0,64.0,1.0,2017/18,849.50
Newcastle,38,12.0,8.0,18.0,44.0,39.0,47.0,-8.0,449.0,150.0,167.0,409.0,52.0,2.0,2017/18,208.28
Southampton,38,7.0,15.0,16.0,36.0,37.0,56.0,-19.0,451.0,145.0,227.0,416.0,63.0,2.0,2017/18,297.00
Tottenham,38,23.0,8.0,7.0,77.0,74.0,36.0,38.0,622.0,217.0,246.0,384.0,49.0,2.0,2017/18,829.60
Watford,38,11.0,8.0,19.0,41.0,44.0,64.0,-20.0,440.0,132.0,184.0,441.0,63.0,4.0,2017/18,196.00
West Ham,38,10.0,12.0,16.0,42.0,48.0,68.0,-20.0,373.0,133.0,161.0,379.0,72.0,2.0,2017/18,268.10
Arsenal,38,21.0,7.0,10.0,70.0,73.0,51.0,22.0,466.0,170.0,212.0,412.0,72.0,2.0,2018/19,659.05
Bournemouth,38,13.0,6.0,19.0,45.0,56.0,70.0,-14.0,447.0,163.0,191.0,339.0,60.0,1.0,2018/19,310.00
Brighton,38,9.0,9.0,20.0,36.0,35.0,60.0,-25.0,365.0,108.0,156.0,463.0,60.0,4.0,2018/19,194.35
Burnley,38,11.0,7.0,20.0,40.0,45.0,68.0,-23.0,359.0,115.0,140.0,359.0,75.0,1.0,2018/19,197.25
Chelsea,38,21.0,9.0,8.0,72.0,63.0,39.0,24.0,606.0,198.0,215.0,339.0,49.0,0.0,2018/19,1170.00
Crystal Palace,38,14.0,7.0,17.0,49.0,51.0,53.0,-2.0,491.0,146.0,205.0,386.0,58.0,2.0,2018/19,289.00
Everton,38,15.0,9.0,14.0,54.0,54.0,46.0,8.0,495.0,169.0,215.0,432.0,55.0,4.0,2018/19,529.10
Leicester,38,15.0,7.0,16.0,52.0,51.0,48.0,3.0,515.0,184.0,210.0,351.0,57.0,5.0,2018/19,434.10
Liverpool,38,30.0,7.0,1.0,97.0,89.0,22.0,67.0,574.0,226.0,249.0,315.0,37.0,2.0,2018/19,1170.00
Man City,38,32.0,2.0,4.0,98.0,95.0,23.0,72.0,683.0,260.0,287.0,328.0,44.0,1.0,2018/19,1200.00
Man United,38,19.0,9.0,10.0,66.0,65.0,54.0,11.0,526.0,225.0,200.0,433.0,73.0,4.0,2018/19,797.60
Newcastle,38,12.0,9.0,17.0,45.0,42.0,48.0,-6.0,444.0,142.0,181.0,422.0,57.0,2.0,2018/19,244.65
Southampton,38,9.0,12.0,17.0,39.0,45.0,65.0,-20.0,480.0,162.0,193.0,420.0,71.0,3.0,2018/19,305.40
Tottenham,38,23.0,2.0,13.0,71.0,67.0,39.0,28.0,536.0,189.0,194.0,375.0,56.0,3.0,2018/19,898.60
Watford,38,14.0,8.0,16.0,50.0,52.0,59.0,-7.0,434.0,151.0,177.0,433.0,77.0,4.0,2018/19,239.10
West Ham,38,15.0,7.0,16.0,52.0,52.0,55.0,-3.0,441.0,157.0,187.0,331.0,59.0,1.0,2018/19,359.00
Wolves,38,16.0,9.0,13.0,57.0,47.0,46.0,1.0,474.0,151.0,195.0,409.0,72.0,1.0,2018/19,302.90
Arsenal,38,14.0,14.0,10.0,56.0,56.0,48.0,8.0,410.0,151.0,231.0,421.0,86.0,5.0,2019/20,607.65
Aston Villa,38,9.0,8.0,21.0,35.0,41.0,67.0,-26.0,459.0,150.0,200.0,451.0,68.0,1.0,2019/20,231.70
Brighton,38,9.0,14.0,15.0,41.0,39.0,54.0,-15.0,461.0,142.0,178.0,385.0,56.0,2.0,2019/20,200.78
Burnley,38,15.0,9.0,14.0,54.0,43.0,50.0,-7.0,388.0,134.0,171.0,412.0,67.0,0.0,2019/20,163.88
Chelsea,38,20.0,6.0,12.0,66.0,69.0,54.0,15.0,625.0,223.0,247.0,386.0,60.0,0.0,2019/20,705.85
Crystal Palace,38,11.0,10.0,17.0,43.0,31.0,50.0,-19.0,376.0,120.0,177.0,425.0,61.0,2.0,2019/20,189.33
Everton,38,13.0,10.0,15.0,49.0,44.0,56.0,-12.0,470.0,162.0,203.0,472.0,70.0,3.0,2019/20,420.55
Leicester,38,18.0,8.0,12.0,62.0,67.0,41.0,26.0,537.0,190.0,222.0,418.0,41.0,3.0,2019/20,411.10
Liverpool,38,32.0,3.0,3.0,99.0,85.0,33.0,52.0,590.0,231.0,258.0,331.0,38.0,1.0,2019/20,1000.00
Man City,38,26.0,3.0,9.0,81.0,102.0,35.0,67.0,745.0,263.0,298.0,361.0,60.0,4.0,2019/20,1050.00
Man United,38,18.0,12.0,8.0,66.0,66.0,36.0,30.0,543.0,216.0,204.0,433.0,72.0,0.0,2019/20,670.45
Newcastle,38,11.0,11.0,16.0,44.0,38.0,58.0,-20.0,395.0,131.0,151.0,370.0,65.0,3.0,2019/20,252.48
Sheffield United,38,14.0,12.0,12.0,54.0,39.0,39.0,0.0,354.0,115.0,212.0,410.0,61.0,2.0,2019/20,138.60
Southampton,38,15.0,7.0,16.0,52.0,51.0,60.0,-9.0,500.0,181.0,210.0,450.0,53.0,4.0,2019/20,210.75
Tottenham,38,16.0,11.0,11.0,59.0,61.0,47.0,14.0,445.0,160.0,200.0,423.0,82.0,3.0,2019/20,806.80
West Ham,38,10.0,9.0,19.0,39.0,49.0,62.0,-13.0,417.0,163.0,190.0,387.0,62.0,1.0,2019/20,303.60
Wolves,38,15.0,14.0,9.0,59.0,51.0,40.0,11.0,459.0,145.0,193.0,406.0,57.0,2.0,2019/20,320.33
Arsenal,38,18.0,7.0,13.0,61.0,55.0,39.0,16.0,459.0,152.0,208.0,345.0,47.0,5.0,2020/21,619.25
Aston Villa,38,16.0,7.0,15.0,55.0,55.0,46.0,9.0,511.0,187.0,215.0,439.0,63.0,3.0,2020/21,430.70
Brighton,38,9.0,14.0,15.0,41.0,40.0,46.0,-6.0,487.0,143.0,219.0,427.0,45.0,6.0,2020/21,290.40
Burnley,38,10.0,9.0,19.0,39.0,33.0,55.0,-22.0,384.0,130.0,172.0,384.0,48.0,0.0,2020/21,132.30
Chelsea,38,19.0,10.0,9.0,67.0,58.0,36.0,22.0,558.0,209.0,227.0,433.0,48.0,3.0,2020/21,889.20
Crystal Palace,38,12.0,8.0,18.0,44.0,41.0,66.0,-25.0,349.0,131.0,151.0,409.0,54.0,2.0,2020/21,193.85
Everton,38,17.0,8.0,13.0,59.0,47.0,48.0,-1.0,400.0,148.0,167.0,386.0,58.0,2.0,2020/21,511.20
Leeds,38,18.0,5.0,15.0,59.0,62.0,54.0,8.0,522.0,199.0,231.0,427.0,61.0,1.0,2020/21,238.10
Leicester,38,20.0,6.0,12.0,66.0,68.0,50.0,18.0,484.0,185.0,214.0,416.0,60.0,0.0,2020/21,510.60
Liverpool,38,20.0,9.0,9.0,69.0,68.0,42.0,26.0,608.0,214.0,260.0,396.0,40.0,0.0,2020/21,969.65
Man City,38,27.0,5.0,6.0,86.0,83.0,32.0,51.0,604.0,219.0,247.0,361.0,46.0,2.0,2020/21,1040.00
Man United,38,21.0,11.0,6.0,74.0,73.0,44.0,29.0,521.0,212.0,197.0,452.0,64.0,1.0,2020/21,770.05
Newcastle,38,12.0,9.0,17.0,45.0,46.0,62.0,-16.0,397.0,142.0,161.0,388.0,61.0,3.0,2020/21,255.35
Southampton,38,12.0,7.0,19.0,43.0,47.0,68.0,-21.0,423.0,166.0,178.0,426.0,52.0,3.0,2020/21,282.80
Tottenham,38,18.0,8.0,12.0,62.0,68.0,45.0,23.0,444.0,176.0,168.0,439.0,53.0,2.0,2020/21,703.50
West Ham,38,19.0,8.0,11.0,65.0,62.0,47.0,15.0,468.0,165.0,168.0,374.0,48.0,3.0,2020/21,336.40
Wolves,38,12.0,9.0,17.0,45.0,36.0,52.0,-16.0,462.0,154.0,209.0,425.0,53.0,0.0,2020/21,450.30
Arsenal,38,22.0,3.0,13.0,69.0,61.0,48.0,13.0,588.0,197.0,209.0,363.0,60.0,4.0,2021/22,613.05
Aston Villa,38,13.0,6.0,19.0,45.0,52.0,54.0,-2.0,454.0,162.0,196.0,401.0,77.0,2.0,2021/22,487.75
Brentford,38,13.0,7.0,18.0,46.0,48.0,56.0,-8.0,442.0,154.0,159.0,371.0,61.0,3.0,2021/22,273.30
Brighton,38,12.0,15.0,11.0,51.0,42.0,44.0,-2.0,490.0,152.0,202.0,393.0,71.0,2.0,2021/22,318.00
Chelsea,38,21.0,11.0,6.0,74.0,76.0,33.0,43.0,592.0,211.0,242.0,409.0,63.0,1.0,2021/22,914.50
Crystal Palace,38,11.0,15.0,12.0,48.0,50.0,46.0,4.0,412.0,147.0,176.0,415.0,67.0,1.0,2021/22,271.05
Everton,38,11.0,6.0,21.0,39.0,43.0,66.0,-23.0,438.0,138.0,161.0,368.0,76.0,6.0,2021/22,479.05
Leeds,38,9.0,11.0,18.0,38.0,42.0,79.0,-37.0,485.0,154.0,171.0,469.0,100.0,3.0,2021/22,299.45
Leicester,38,14.0,10.0,14.0,52.0,62.0,59.0,3.0,435.0,169.0,185.0,356.0,54.0,1.0,2021/22,526.55
Liverpool,38,28.0,8.0,2.0,92.0,94.0,26.0,68.0,730.0,256.0,285.0,363.0,50.0,1.0,2021/22,918.90
Man City,38,29.0,6.0,3.0,93.0,99.0,26.0,73.0,715.0,254.0,317.0,320.0,42.0,1.0,2021/22,1000.00
Man United,38,16.0,10.0,12.0,58.0,57.0,57.0,0.0,508.0,187.0,199.0,395.0,75.0,2.0,2021/22,769.15
Newcastle,38,13.0,10.0,15.0,49.0,44.0,62.0,-18.0,448.0,148.0,160.0,391.0,79.0,1.0,2021/22,313.90
Southampton,38,9.0,13.0,16.0,40.0,43.0,67.0,-24.0,482.0,170.0,234.0,402.0,63.0,2.0,2021/22,274.30
Tottenham,38,22.0,5.0,11.0,71.0,69.0,40.0,29.0,491.0,198.0,195.0,386.0,67.0,1.0,2021/22,689.35
West Ham,38,16.0,8.0,14.0,56.0,60.0,51.0,9.0,433.0,158.0,191.0,324.0,47.0,3.0,2021/22,354.90
Wolves,38,15.0,6.0,17.0,51.0,38.0,43.0,-5.0,402.0,136.0,168.0,365.0,59.0,2.0,2021/22,376.95
Arsenal,38,26.0,6.0,6.0,84.0,88.0,43.0,45.0,593.0,204.0,223.0,373.0,51.0,0.0,2022/23,1000.00
Aston Villa,38,18.0,7.0,13.0,61.0,51.0,46.0,5.0,431.0,151.0,165.0,417.0,80.0,1.0,2022/23,509.55
Bournemouth,38,11.0,6.0,21.0,39.0,37.0,71.0,-34.0,355.0,133.0,144.0,391.0,68.0,0.0,2022/23,287.20
Brentford,38,15.0,14.0,9.0,59.0,58.0,46.0,12.0,397.0,162.0,163.0,354.0,55.0,1.0,2022/23,371.20
Brighton,38,18.0,8.0,12.0,62.0,72.0,53.0,19.0,612.0,231.0,233.0,426.0,59.0,0.0,2022/23,529.80
Chelsea,38,11.0,11.0,16.0,44.0,38.0,47.0,-9.0,484.0,158.0,209.0,397.0,77.0,3.0,2022/23,994.95
Crystal Palace,38,11.0,12.0,15.0,45.0,40.0,49.0,-9.0,425.0,136.0,186.0,446.0,78.0,3.0,2022/23,323.05
Everton,38,8.0,12.0,18.0,36.0,34.0,57.0,-23.0,429.0,152.0,175.0,396.0,79.0,2.0,2022/23,413.15
Fulham,38,15.0,7.0,16.0,52.0,55.0,53.0,2.0,429.0,149.0,185.0,411.0,80.0,1.0,2022/23,295.10
Liverpool,38,19.0,10.0,9.0,67.0,75.0,47.0,28.0,605.0,212.0,236.0,405.0,57.0,1.0,2022/23,811.85
Man City,38,28.0,5.0,5.0,89.0,94.0,33.0,61.0,603.0,219.0,240.0,347.0,43.0,1.0,2022/23,1150.00
Man United,38,23.0,6.0,9.0,75.0,58.0,43.0,15.0,592.0,214.0,195.0,423.0,78.0,1.0,2022/23,847.75
Newcastle,38,19.0,14.0,5.0,71.0,68.0,33.0,35.0,571.0,197.0,270.0,406.0,57.0,1.0,2022/23,541.60
Nott'm Forest,38,9.0,11.0,18.0,38.0,38.0,68.0,-30.0,368.0,118.0,128.0,445.0,84.0,0.0,2022/23,376.25
Tottenham,38,18.0,6.0,14.0,60.0,70.0,63.0,7.0,520.0,200.0,203.0,423.0,75.0,3.0,2022/23,649.10
West Ham,38,11.0,7.0,20.0,40.0,42.0,55.0,-13.0,474.0,145.0,207.0,361.0,44.0,0.0,2022/23,465.60
Wolves,38,11.0,8.0,19.0,41.0,31.0,58.0,-27.0,413.0,125.0,186.0,463.0,83.0,5.0,2022/23,497.65
Arsenal,38,28.0,5.0,5.0,89.0,91.0,29.0,62.0,657.0,227.0,256.0,391.0,62.0,2.0,2023/24,1200.00
Aston Villa,38,20.0,8.0,10.0,68.0,76.0,61.0,15.0,514.0,190.0,233.0,413.0,94.0,2.0,2023/24,709.65
Bournemouth,38,13.0,9.0,16.0,48.0,54.0,67.0,-13.0,542.0,185.0,236.0,506.0,80.0,3.0,2023/24,401.75
Brentford,38,10.0,9.0,19.0,39.0,56.0,65.0,-9.0,473.0,172.0,185.0,384.0,88.0,2.0,2023/24,428.78
Brighton,38,12.0,12.0,14.0,48.0,55.0,62.0,-7.0,562.0,208.0,206.0,414.0,89.0,3.0,2023/24,524.40
Chelsea,38,18.0,9.0,11.0,63.0,77.0,63.0,14.0,548.0,215.0,203.0,445.0,104.0,3.0,2023/24,1010.00
Crystal Palace,38,13.0,10.0,15.0,49.0,57.0,58.0,-1.0,456.0,169.0,178.0,456.0,69.0,2.0,2023/24,446.58
Everton,38,13.0,9.0,16.0,48.0,40.0,51.0,-11.0,507.0,162.0,185.0,457.0,79.0,1.0,2023/24,391.75
Fulham,38,13.0,8.0,17.0,47.0,55.0,61.0,-6.0,500.0,178.0,212.0,384.0,77.0,4.0,2023/24,384.35
Liverpool,38,24.0,10.0,4.0,82.0,86.0,41.0,45.0,790.0,277.0,287.0,462.0,65.0,5.0,2023/24,955.65
Man City,38,28.0,7.0,3.0,91.0,96.0,34.0,62.0,690.0,278.0,282.0,287.0,51.0,2.0,2023/24,1460.00
Man United,38,18.0,6.0,14.0,60.0,57.0,58.0,-1.0,550.0,193.0,226.0,398.0,80.0,1.0,2023/24,808.35
Newcastle,38,18.0,6.0,14.0,60.0,85.0,62.0,23.0,551.0,213.0,193.0,385.0,76.0,1.0,2023/24,652.25
Nott'm Forest,38,9.0,9.0,20.0,36.0,49.0,67.0,-18.0,451.0,148.0,148.0,428.0,75.0,3.0,2023/24,501.35
Tottenham,38,20.0,6.0,12.0,66.0,74.0,61.0,13.0,582.0,214.0,235.0,425.0,88.0,4.0,2023/24,838.50
West Ham,38,14.0,10.0,14.0,52.0,60.0,74.0,-14.0,450.0,150.0,168.0,390.0,76.0,3.0,2023/24,487.50
Wolves,38,13.0,7.0,18.0,46.0,50.0,65.0,-15.0,427.0,159.0,158.0,477.0,98.0,4.0,2023/24,442.73
Arsenal,38,20.0,14.0,4.0,74.0,69.0,34.0,35.0,547.0,188.0,251.0,400.0,64.0,6.0,2024/25,1160.00
Aston Villa,38,19.0,9.0,10.0,66.0,58.0,51.0,7.0,484.0,170.0,232.0,406.0,72.0,4.0,2024/25,680.55
Bournemouth,38,15.0,11.0,12.0,56.0,58.0,46.0,12.0,580.0,202.0,229.0,514.0,97.0,3.0,2024/25,518.60
Brentford,38,16.0,8.0,14.0,56.0,66.0,57.0,9.0,441.0,184.0,175.0,319.0,62.0,1.0,2024/25,427.85
Brighton,38,16.0,13.0,9.0,61.0,66.0,59.0,7.0,533.0,191.0,189.0,438.0,72.0,3.0,2024/25,667.58
Chelsea,38,20.0,9.0,9.0,69.0,64.0,43.0,21.0,595.0,218.0,236.0,436.0,98.0,2.0,2024/25,1190.00
Crystal Palace,38,13.0,14.0,11.0,53.0,51.0,51.0,0.0,516.0,186.0,172.0,417.0,75.0,4.0,2024/25,526.85
Everton,38,11.0,15.0,12.0,48.0,42.0,44.0,-2.0,405.0,144.0,156.0,430.0,80.0,2.0,2024/25,363.23
Fulham,38,15.0,9.0,14.0,54.0,54.0,54.0,0.0,521.0,173.0,205.0,432.0,80.0,2.0,2024/25,362.35
Liverpool,38,25.0,9.0,4.0,84.0,86.0,41.0,45.0,648.0,231.0,253.0,430.0,64.0,3.0,2024/25,950.95
Man City,38,21.0,8.0,9.0,71.0,72.0,44.0,28.0,607.0,217.0,253.0,287.0,57.0,2.0,2024/25,1360.00
Man United,38,11.0,9.0,18.0,42.0,44.0,54.0,-10.0,527.0,174.0,200.0,413.0,83.0,3.0,2024/25,825.00
Newcastle,38,20.0,6.0,12.0,66.0,68.0,47.0,21.0,524.0,174.0,218.0,394.0,68.0,1.0,2024/25,677.53
Nott'm Forest,38,19.0,8.0,11.0,65.0,58.0,46.0,12.0,463.0,166.0,160.0,391.0,85.0,2.0,2024/25,481.30
Tottenham,38,11.0,5.0,22.0,38.0,64.0,65.0,-1.0,497.0,185.0,243.0,446.0,70.0,1.0,2024/25,777.30
West Ham,38,11.0,10.0,17.0,43.0,46.0,62.0,-16.0,476.0,146.0,154.0,443.0,78.0,3.0,2024/25,400.70
Wolves,38,12.0,6.0,20.0,42.0,54.0,69.0,-15.0,431.0,160.0,149.0,480.0,74.0,2.0,2024/25,433.05
