tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost
Arsenal,38,20,12,6,72,68,37,31,554,316,268,419,60,3,2008/09,311.45
Everton,38,17,12,9,63,55,37,18,423,232,193,473,49,1,2008/09,190.33
Aston Villa,38,17,11,10,62,54,48,6,408,225,260,431,53,2,2008/09,157.35
Fulham,38,14,11,13,53,39,34,5,431,234,192,416,41,1,2008/09,83.85
Tottenham,38,14,9,15,51,45,45,0,482,279,220,426,56,5,2008/09,278.80
West Ham,38,14,9,15,51,42,45,-3,434,244,191,456,67,4,2008/09,133.90
Man City,38,15,5,18,50,58,50,8,489,267,212,456,51,4,2008/09,258.35
Stoke,38,12,9,17,45,38,55,-17,304,137,177,478,74,5,2008/09,63.45
Wigan,38,12,9,17,45,34,45,-11,483,227,216,439,61,4,2008/09,103.75
Blackburn,38,10,11,17,41,40,60,-20,404,219,198,501,76,4,2008/09,91.20
Bolton,38,11,8,19,41,41,53,-12,441,244,197,497,61,1,2008/09,81.65
Portsmouth,38,10,11,17,41,38,57,-19,442,231,195,433,62,5,2008/09,152.60
Sunderland,38,9,9,20,36,34,54,-20,396,210,174,380,70,1,2008/09,110.30
Hull,38,8,11,19,35,39,64,-25,416,213,188,533,72,3,2008/09,64.70
Arsenal,38,23.0,6.0,9.0,75.0,83.0,41.0,42.0,560.0,329.0,258.0,419.0,56.0,1.0,2009/10,314.30
Aston Villa,38,17.0,13.0,8.0,64.0,52.0,39.0,13.0,429.0,239.0,241.0,460.0,61.0,2.0,2009/10,167.38
Birmingham,38,13.0,11.0,14.0,50.0,38.0,47.0,-9.0,373.0,220.0,189.0,408.0,74.0,1.0,2009/10,69.65
Blackburn,38,13.0,11.0,14.0,50.0,41.0,55.0,-14.0,434.0,238.0,182.0,526.0,59.0,2.0,2009/10,91.63
Bolton,38,10.0,9.0,19.0,39.0,42.0,67.0,-25.0,460.0,246.0,192.0,519.0,75.0,5.0,2009/10,85.80
Chelsea,38,27.0,5.0,6.0,86.0,103.0,32.0,71.0,697.0,388.0,285.0,441.0,56.0,5.0,2009/10,451.95
Everton,38,16.0,13.0,9.0,61.0,60.0,49.0,11.0,510.0,307.0,228.0,462.0,57.0,2.0,2009/10,218.93
Fulham,38,12.0,10.0,16.0,46.0,39.0,46.0,-7.0,380.0,210.0,182.0,420.0,46.0,1.0,2009/10,101.18
Liverpool,38,18.0,9.0,11.0,63.0,61.0,35.0,26.0,519.0,288.0,268.0,445.0,56.0,5.0,2009/10,331.55
Man City,38,18.0,13.0,7.0,67.0,73.0,45.0,28.0,454.0,252.0,239.0,402.0,51.0,2.0,2009/10,312.50
Man United,38,27.0,4.0,7.0,85.0,86.0,28.0,58.0,616.0,344.0,294.0,421.0,51.0,4.0,2009/10,384.70
Stoke,38,11.0,14.0,13.0,47.0,34.0,48.0,-14.0,337.0,170.0,183.0,448.0,66.0,5.0,2009/10,80.70
Sunderland,38,11.0,11.0,16.0,44.0,48.0,56.0,-8.0,384.0,216.0,181.0,518.0,82.0,9.0,2009/10,131.58
Tottenham,38,21.0,7.0,10.0,70.0,67.0,41.0,26.0,597.0,348.0,241.0,418.0,57.0,1.0,2009/10,263.53
West Ham,38,8.0,11.0,19.0,35.0,47.0,66.0,-19.0,457.0,258.0,181.0,485.0,66.0,3.0,2009/10,123.75
Wigan,38,9.0,9.0,20.0,36.0,37.0,79.0,-42.0,498.0,266.0,184.0,482.0,64.0,3.0,2009/10,77.60
Wolves,38,9.0,11.0,18.0,38.0,32.0,56.0,-24.0,377.0,206.0,206.0,483.0,64.0,4.0,2009/10,65.48
Arsenal,38,19.0,11.0,8.0,68.0,72.0,43.0,29.0,595.0,342.0,252.0,432.0,68.0,6.0,2010/11,324.00
Aston Villa,38,12.0,12.0,14.0,48.0,48.0,59.0,-11.0,436.0,241.0,235.0,437.0,71.0,2.0,2010/11,202.80
Blackburn,38,11.0,10.0,17.0,43.0,46.0,59.0,-13.0,385.0,191.0,175.0,455.0,65.0,4.0,2010/11,91.53
Bolton,38,12.0,10.0,16.0,46.0,52.0,56.0,-4.0,498.0,275.0,202.0,480.0,67.0,5.0,2010/11,100.15
Chelsea,38,21.0,8.0,9.0,71.0,69.0,33.0,36.0,635.0,344.0,255.0,405.0,59.0,1.0,2010/11,424.10
Everton,38,13.0,15.0,10.0,54.0,51.0,45.0,6.0,509.0,286.0,245.0,459.0,58.0,5.0,2010/11,184.48
